id,name,contained_in,is_leaf
B2-8A,Sonnen- & Gelsenschutzmittel,['B2-8'],False
B2-8A1,Sonnenschutzmittel,"['B2-8', 'B2-8A']",True
B2-8A2,Apres Lotion & Selbstbräuner,"['B2-8', 'B2-8A']",True
B2-8A3,Gelsenschutzmittel,"['B2-8', 'B2-8A']",True
B2-9,Haushalt,[],False
B2-91,Büro- & Schulartikel,['B2-9'],True
B2-97,"Müllsäcke, Gefrierbeutel & Co.",['B2-9'],True
B2-9C,Schuhpflege,['B2-9'],True
B2-9E,Insektenschutz,['B2-9'],True
B2-9F,Spielwaren,['B2-9'],True
B2-9G,Hygiene-Schutzartikel,['B2-9'],True
B2-92,Garten,['B2-9'],False
B2-922,Pflanzenpflege,"['B2-9', 'B2-92']",True
B2-925,Blumenerde,"['B2-9', 'B2-92']",True
B2-93,Kleben & Befestigen,['B2-9'],False
B2-931,Klebstoffe,"['B2-9', 'B2-93']",True
B2-932,Tesafilm & Klebebänder,"['B2-9', 'B2-93']",True
B2-94,Küchenartikel,['B2-9'],False
B2-942,Gläser & Besteck,"['B2-9', 'B2-94']",True
B2-943,Küchenhilfen,"['B2-9', 'B2-94']",True
B2-949,Partyartikel,"['B2-9', 'B2-94']",True
B2-94A,Filter & Entkalker,"['B2-9', 'B2-94']",True
B2-95,Küchenrollen & WC-Papier,['B2-9'],False
B2-951,WC-Papier,"['B2-9', 'B2-95']",True
B2-952,Feuchtes WC-Papier,"['B2-9', 'B2-95']",True
B2-953,Küchenrollen,"['B2-9', 'B2-95']",True
B2-96,Lampen & Batterien,['B2-9'],False
B2-962,Batterien,"['B2-9', 'B2-96']",True
B2-98,Raumsprays & Kerzen,['B2-9'],False
B2-981,Raumsprays & Lufterfrischer,"['B2-9', 'B2-98']",True
B2-982,Duftkerzen & Kerzen,"['B2-9', 'B2-98']",True
B2-983,Grablichter,"['B2-9', 'B2-98']",True
B2-99,Reinigen & Pflegen,['B2-9'],False
B2-991,Geschirrspülmittel,"['B2-9', 'B2-99']",True
B2-992,Diverse Haushaltsreiniger,"['B2-9', 'B2-99']",True
B2-993,WC- & Badreiniger,"['B2-9', 'B2-99']",True
B2-994,Reinigungsgeräte & Tücher,"['B2-9', 'B2-99']",True
B2-9A,Taschentücher & Servietten,['B2-9'],False
B2-9A1,Taschentücher,"['B2-9', 'B2-9A']",True
B2-9A2,Servietten,"['B2-9', 'B2-9A']",True
B2-9B,Waschmittel & Weichspüler,['B2-9'],False
